回,年,イベント名,開催日,来場者数,参加コミュニティ数,参加したか
158,,2018 Okinawa,6/16,80,12,1
159,,2018 Hokkaido,7/6-7,730,66,1
160,,2018 Kyoto,8/3-4,800,48,1
,,2018 ODC Tokyo,8/25-26,370,7,参加
161,,2018 Hiroshima,9/23,170,18,1
162,,2018 Kagawa,10/6,110,14,1
163,,2018 Tokyo/Fall,10/27-28,1050,62,1
164,,2018 Niigata,11/10,70,13,1
165,,2018 Shimane,11/23,100,19,1
166,,2018 Fukuoka,12/8,380,24,1
167,,2018 .Enterprise,12/14,300,4,
168,2019,2019 Osaka,1/25-26,350,30,1
169,,2019 Hamanako,2/10,150,25,1
170,,2019 Tokyo/Spring,2/22-23,1010,68,1
171,,2019 Okinawa,4/20,100,11,1
172,,2019 Hokkaido,5/31-6/1,720,54,1
173,,2019 Nagoya,7/13,500,29,1
174,,2019 Kyoto,8/2-3,760,50,1
,,2019 ODC Tokyo,8/24,300,6,参加
175,,2019 Hiroshima,9/15,200,19,1
176,,2019 Shimane,9/28,150,19,1
177,,2019 Niigata,10/5,50,15,1
178,,2019 .Enterprise,10/10,250,7,
179,,2019 Tokushima,10/19,200,24,1
180,,2019 Fukuoka,11/9,350,24,1
181,,2019 Tokyo/Fall,11/23-24,830,63,1
182,2020,2020 Osaka,1/24-25,320,32,1
183,,2020 Online/Spring,4/24-25,500,19,
184,,2020 Online/Nagoya,5/30,370,14,1
185,,2020 Online/Hokkaido,6/27,450,22,1
186,,2020 Online/Niigata,7/25,120,10,1
187,,2020 Online/Kyoto,8/28-29,320,18,1
188,,2020 Online/Hiroshima,9/19,200,8,1
189,,2020 Online/Fall,10/23-24,500,15,1
190,,2020 Online/Aizu,10/25,120,-,　
191,,2020 Online/Fukuoka,11/28,240,14,1
,,ODC Online,12/19,260,6,参加
192,2021,2021 Online/Osaka,1/30,290,12,1
193,,2021 Online/Spring,3/5-6,570,26,1
194,,2021 Online/Nagoya,5/29,400,16,1
195,,2021 Online/Hokkaido,6/26,510,22,1
196,,2021 Online/Kyoto,7/30-31,235,16,1
 ,,ODC Online,8/28,300,10,参加
197,,2021 Online/Aizu,8/29,220,,
198,,2021 Online/Hiroshima,9/18,170,13,1
199,,2021 Online/Niigata,10/2,80,,1
200,,2021 Online/Fall,10/22-23,350,18,1
201,,2021 Online/Fukuoka,11/20,135,11,1
202,2022,2022 Online/Osaka,1/29,190,11,1
203,,2022 Online/Spring,3/11-12,420,19,1
204,,2022 Online/Aizu,4/30,105,,
205,,2022 Online/Nagoya,5/28,280,21,1
206,,2022 Online/Hokkaido,6/25,325,18,1
